Station_Name,Lat,Lon,Elev,Year,Month,Day,PRECIP(mm)
GITEGA,-1.96,30.06,1522,2020,10,9,0
GITEGA,-1.96,30.06,1522,2020,10,10,0
GITEGA,-1.96,30.06,1522,2020,10,11,0
GITEGA,-1.96,30.06,1522,2020,10,12,0
GITEGA,-1.96,30.06,1522,2020,10,13,0
GITEGA,-1.96,30.06,1522,2020,10,14,0
GITEGA,-1.96,30.06,1522,2020,10,15,1.5
GITEGA,-1.96,30.06,1522,2020,10,16,0
GITEGA,-1.96,30.06,1522,2020,10,17,0
GITEGA,-1.96,30.06,1522,2020,10,18,0
GITEGA,-1.96,30.06,1522,2020,10,19,2.1
GITEGA,-1.96,30.06,1522,2020,10,20,20.6
GITEGA,-1.96,30.06,1522,2020,10,21,5.1
GITEGA,-1.96,30.06,1522,2020,10,22,0
GITEGA,-1.96,30.06,1522,2020,10,23,0.1
GITEGA,-1.96,30.06,1522,2020,10,24,0
GITEGA,-1.96,30.06,1522,2020,10,25,1.2
GITEGA,-1.96,30.06,1522,2020,10,26,4.1
GITEGA,-1.96,30.06,1522,2020,10,27,56.3
GITEGA,-1.96,30.06,1522,2020,10,28,1
GITEGA,-1.96,30.06,1522,2020,10,29,18.9
GITEGA,-1.96,30.06,1522,2020,10,30,13
GITEGA,-1.96,30.06,1522,2020,10,31,12.7
GITEGA,-1.96,30.06,1522,2020,11,1,0.7
GITEGA,-1.96,30.06,1522,2020,11,2,5.9
GITEGA,-1.96,30.06,1522,2020,11,3,0
GITEGA,-1.96,30.06,1522,2020,11,4,0
GITEGA,-1.96,30.06,1522,2020,11,5,12.3
GITEGA,-1.96,30.06,1522,2020,11,6,14
GITEGA,-1.96,30.06,1522,2020,11,7,0.4
GITEGA,-1.96,30.06,1522,2020,11,8,9.9
GITEGA,-1.96,30.06,1522,2020,11,9,0
GITEGA,-1.96,30.06,1522,2020,11,10,39
GITEGA,-1.96,30.06,1522,2020,11,11,0.7
GITEGA,-1.96,30.06,1522,2020,11,12,0
GITEGA,-1.96,30.06,1522,2020,11,13,6.2
GITEGA,-1.96,30.06,1522,2020,11,14,5.3
GITEGA,-1.96,30.06,1522,2020,11,15,11.2
GITEGA,-1.96,30.06,1522,2020,11,16,0
GITEGA,-1.96,30.06,1522,2020,11,17,1
GITEGA,-1.96,30.06,1522,2020,11,18,1.6
GITEGA,-1.96,30.06,1522,2020,11,19,0
GITEGA,-1.96,30.06,1522,2020,11,20,0
GITEGA,-1.96,30.06,1522,2020,11,21,3.4
GITEGA,-1.96,30.06,1522,2020,11,22,1
GITEGA,-1.96,30.06,1522,2020,11,23,0.6
GITEGA,-1.96,30.06,1522,2020,11,24,15.2
GITEGA,-1.96,30.06,1522,2020,11,25,13.3
GITEGA,-1.96,30.06,1522,2020,11,26,0
GITEGA,-1.96,30.06,1522,2020,11,27,0
GITEGA,-1.96,30.06,1522,2020,11,28,9.6
GITEGA,-1.96,30.06,1522,2020,11,29,8
GITEGA,-1.96,30.06,1522,2020,11,30,0.2
GITEGA,-1.96,30.06,1522,2020,12,1,0.1
GITEGA,-1.96,30.06,1522,2020,12,2,0.85
GITEGA,-1.96,30.06,1522,2020,12,3,4
GITEGA,-1.96,30.06,1522,2020,12,4,3.2
GITEGA,-1.96,30.06,1522,2020,12,5,0.05
GITEGA,-1.96,30.06,1522,2020,12,6,0
GITEGA,-1.96,30.06,1522,2020,12,7,3.35
GITEGA,-1.96,30.06,1522,2020,12,8,0.05
GITEGA,-1.96,30.06,1522,2020,12,9,0
GITEGA,-1.96,30.06,1522,2020,12,10,0
GITEGA,-1.96,30.06,1522,2020,12,11,0
GITEGA,-1.96,30.06,1522,2020,12,12,0
GITEGA,-1.96,30.06,1522,2020,12,13,5.65
GITEGA,-1.96,30.06,1522,2020,12,14,5.65
GITEGA,-1.96,30.06,1522,2020,12,15,0
GITEGA,-1.96,30.06,1522,2020,12,16,0
GITEGA,-1.96,30.06,1522,2020,12,17,0.05
GITEGA,-1.96,30.06,1522,2020,12,18,2.25
GITEGA,-1.96,30.06,1522,2020,12,19,13
GITEGA,-1.96,30.06,1522,2020,12,20,17.6
GITEGA,-1.96,30.06,1522,2020,12,21,11.35
GITEGA,-1.96,30.06,1522,2020,12,22,4.55
GITEGA,-1.96,30.06,1522,2020,12,23,0
GITEGA,-1.96,30.06,1522,2020,12,24,2.45
GITEGA,-1.96,30.06,1522,2020,12,25,2.45
GITEGA,-1.96,30.06,1522,2020,12,26,1.15
GITEGA,-1.96,30.06,1522,2020,12,27,1.75
GITEGA,-1.96,30.06,1522,2020,12,28,0.6
GITEGA,-1.96,30.06,1522,2020,12,29,0
GITEGA,-1.96,30.06,1522,2020,12,30,0
GITEGA,-1.96,30.06,1522,2020,12,31,2.25
GITEGA,-1.96,30.06,1522,2021,1,1,0
GITEGA,-1.96,30.06,1522,2021,1,2,11.9
GITEGA,-1.96,30.06,1522,2021,1,3,0.2
GITEGA,-1.96,30.06,1522,2021,1,4,1.5
GITEGA,-1.96,30.06,1522,2021,1,5,0
GITEGA,-1.96,30.06,1522,2021,1,6,7.8
GITEGA,-1.96,30.06,1522,2021,1,7,0
GITEGA,-1.96,30.06,1522,2021,1,8,57.9
GITEGA,-1.96,30.06,1522,2021,1,9,4.1
GITEGA,-1.96,30.06,1522,2021,1,10,1.1
GITEGA,-1.96,30.06,1522,2021,1,11,1.2
GITEGA,-1.96,30.06,1522,2021,1,12,2.7
GITEGA,-1.96,30.06,1522,2021,1,13,27.3
GITEGA,-1.96,30.06,1522,2021,1,14,0.5
GITEGA,-1.96,30.06,1522,2021,1,15,6.6
GITEGA,-1.96,30.06,1522,2021,1,16,2.5
GITEGA,-1.96,30.06,1522,2021,1,17,0
GITEGA,-1.96,30.06,1522,2021,1,18,0
GITEGA,-1.96,30.06,1522,2021,1,19,19.6
GITEGA,-1.96,30.06,1522,2021,1,20,2.1
GITEGA,-1.96,30.06,1522,2021,1,21,0
GITEGA,-1.96,30.06,1522,2021,1,22,0
GITEGA,-1.96,30.06,1522,2021,1,23,1.2
GITEGA,-1.96,30.06,1522,2021,1,24,0
GITEGA,-1.96,30.06,1522,2021,1,25,0
GITEGA,-1.96,30.06,1522,2021,1,26,0
GITEGA,-1.96,30.06,1522,2021,1,27,4.4
GITEGA,-1.96,30.06,1522,2021,1,28,0
GITEGA,-1.96,30.06,1522,2021,1,29,1.1
GITEGA,-1.96,30.06,1522,2021,1,30,0
GITEGA,-1.96,30.06,1522,2021,1,31,0
GITEGA,-1.96,30.06,1522,2021,2,1,0
GITEGA,-1.96,30.06,1522,2021,2,2,0
GITEGA,-1.96,30.06,1522,2021,2,3,0
GITEGA,-1.96,30.06,1522,2021,2,4,2.4
GITEGA,-1.96,30.06,1522,2021,2,5,33.3
GITEGA,-1.96,30.06,1522,2021,2,6,1.3
GITEGA,-1.96,30.06,1522,2021,2,7,0
GITEGA,-1.96,30.06,1522,2021,2,8,18.3
GITEGA,-1.96,30.06,1522,2021,2,9,0
GITEGA,-1.96,30.06,1522,2021,2,10,0
GITEGA,-1.96,30.06,1522,2021,2,11,2.5
GITEGA,-1.96,30.06,1522,2021,2,12,0.3
GITEGA,-1.96,30.06,1522,2021,2,13,11.6
GITEGA,-1.96,30.06,1522,2021,2,14,8
GITEGA,-1.96,30.06,1522,2021,2,15,10.7
GITEGA,-1.96,30.06,1522,2021,2,16,0.2
GITEGA,-1.96,30.06,1522,2021,2,17,0
GITEGA,-1.96,30.06,1522,2021,2,18,13.65
GITEGA,-1.96,30.06,1522,2021,2,19,0
GITEGA,-1.96,30.06,1522,2021,2,20,0
GITEGA,-1.96,30.06,1522,2021,2,21,0
GITEGA,-1.96,30.06,1522,2021,2,22,14.8
GITEGA,-1.96,30.06,1522,2021,2,23,1.4
GITEGA,-1.96,30.06,1522,2021,2,24,4.7
GITEGA,-1.96,30.06,1522,2021,2,25,0
GITEGA,-1.96,30.06,1522,2021,2,26,2.1
GITEGA,-1.96,30.06,1522,2021,2,27,0
GITEGA,-1.96,30.06,1522,2021,2,28,0
GITEGA,-1.96,30.06,1522,2021,3,1,0
GITEGA,-1.96,30.06,1522,2021,3,2,0
GITEGA,-1.96,30.06,1522,2021,3,3,20.05
GITEGA,-1.96,30.06,1522,2021,3,4,20.05
GITEGA,-1.96,30.06,1522,2021,3,5,3.9
GITEGA,-1.96,30.06,1522,2021,3,6,3.9
GITEGA,-1.96,30.06,1522,2021,3,7,3.35
GITEGA,-1.96,30.06,1522,2021,3,8,1.2
GITEGA,-1.96,30.06,1522,2021,3,9,2.6
GITEGA,-1.96,30.06,1522,2021,3,10,1.4
GITEGA,-1.96,30.06,1522,2021,3,11,0
GITEGA,-1.96,30.06,1522,2021,3,12,0
GITEGA,-1.96,30.06,1522,2021,3,13,0
GITEGA,-1.96,30.06,1522,2021,3,14,0
GITEGA,-1.96,30.06,1522,2021,3,15,0
GITEGA,-1.96,30.06,1522,2021,3,16,20.55
GITEGA,-1.96,30.06,1522,2021,3,17,27.85
GITEGA,-1.96,30.06,1522,2021,3,18,10.75
GITEGA,-1.96,30.06,1522,2021,3,19,4
GITEGA,-1.96,30.06,1522,2021,3,20,7.2
GITEGA,-1.96,30.06,1522,2021,3,21,11.35
GITEGA,-1.96,30.06,1522,2021,3,22,6.2
GITEGA,-1.96,30.06,1522,2021,3,23,4.75
GITEGA,-1.96,30.06,1522,2021,3,24,3.25
GITEGA,-1.96,30.06,1522,2021,3,25,0
GITEGA,-1.96,30.06,1522,2021,3,26,1.05
GITEGA,-1.96,30.06,1522,2021,3,27,3.1
GITEGA,-1.96,30.06,1522,2021,3,28,2.05
GITEGA,-1.96,30.06,1522,2021,3,29,0.25
GITEGA,-1.96,30.06,1522,2021,3,30,9.05
GITEGA,-1.96,30.06,1522,2021,3,31,8.8
GITEGA,-1.96,30.06,1522,2021,4,1,0
GITEGA,-1.96,30.06,1522,2021,4,2,0
GITEGA,-1.96,30.06,1522,2021,4,3,22.7
GITEGA,-1.96,30.06,1522,2021,4,4,0.1
GITEGA,-1.96,30.06,1522,2021,4,5,2.3
GITEGA,-1.96,30.06,1522,2021,4,6,0
GITEGA,-1.96,30.06,1522,2021,4,7,2.8
GITEGA,-1.96,30.06,1522,2021,4,8,7.4
GITEGA,-1.96,30.06,1522,2021,4,9,0.1
GITEGA,-1.96,30.06,1522,2021,4,10,16.5
GITEGA,-1.96,30.06,1522,2021,4,11,0.3
GITEGA,-1.96,30.06,1522,2021,4,12,10.1
GITEGA,-1.96,30.06,1522,2021,4,13,1.1
